,Females_ANOVA,Females_Tukey_Continuous_vs_Control,Females_Tukey_Intermittent_vs_Control,Females_Tukey_Continuous_Intermittent,Females_FoldChange_Continuous_Control,Females_FoldChange_Intermittent_Control,Females_FoldChange_Continuous_Intermittent,Males_ANOVA,Males_Tukey_Continuous_vs_Control,Males_Tukey_Intermittent_vs_Control,Males_Tukey_Continuous_vs_Intermittent,Males_FoldChange_Continuous_vs_Control,Males_FoldChange_Intermittent_vs_Control,Males_FoldChange_Continuous_Intermittent,Sex_ANOVA_Female_vs_Males_Controls,Sex_FoldChange_Female_Male_Controls
Clmp,0.020098837,0.045820179,0.039183726,0.991994037,0.95674623,0.958878221,0.997776578,0.358570223,0.413097988,0.994531081,0.45746146,1.029115111,1.002300679,1.026752882,0.018842132,0.589639562
Matn2,0.21921923,0.541443072,0.72847681,0.190809434,1.044952633,0.9701963,1.077052791,0.48455509,0.458289229,0.719524074,0.906579443,1.11535337,1.07564922,1.036911801,6.78E-05,0.616002408
Cpe,0.651495035,0.941008116,0.628132314,0.860702666,0.987599031,0.968100804,1.020140698,0.193541389,0.1675632,0.542342117,0.715701855,0.913836883,0.949625161,0.962313259,0.031657207,0.702149008
Gcg,0.014548222,0.011385404,0.58281851,0.104624273,1.501201092,1.154089411,1.300766716,0.819580262,0.928081172,0.972168803,0.806836703,1.163764,0.897679,1.296415,0.050579124,0.739444278
Gdnf,0.143681026,0.202478113,0.995133219,0.172864038,0.854888878,1.007290046,0.848701803,0.352074833,0.436110928,0.999987266,0.419504767,0.820783999,1.000704877,0.820205855,0.127486911,0.741822033
Yes1,0.026167241,0.039673603,0.997312715,0.04625323,0.830473234,0.995632392,0.834116327,0.505040849,0.813347755,0.856189775,0.47351244,1.051155813,0.95495757,1.100735621,0.000649933,0.749720053
Il17a,0.000185899,0.055832341,0.063002274,0.000110887,1.31490391,0.715016747,1.838983375,0.804595446,0.905856411,0.974936014,0.795563582,1.073321719,0.961588,1.116197,1.37E-06,0.763360618
Foxo1,0.766776224,0.872434286,0.967997591,0.750889671,0.971830535,1.012716849,0.959627102,0.551869355,0.530511602,0.746817825,0.936163483,1.136898188,1.093953029,1.039256858,0.000401911,0.803705573
Tnfrsf11b,0.006591031,0.008066315,0.904244844,0.023188948,1.088666747,1.01124054,1.076565568,0.924447621,0.924926672,0.950233434,0.997419177,0.981976628,0.985189373,0.996738957,0.284302718,0.819926394
Tgfb1,0.001762149,0.020206197,0.002217182,0.860665958,0.87086614,0.846606624,1.028655003,0.197664858,0.197096598,0.35873161,0.93203213,0.849818147,0.879783513,0.965940069,0.32767676,0.83981094
Pla2g4a,0.158318259,0.991322787,0.226061721,0.225358749,1.005033697,0.938079356,1.071373856,0.857602559,0.85064847,0.980932284,0.931211294,1.052919842,1.018517863,1.03377651,0.274127896,0.878569131
