Clmp,Matn2,Cpe,Gcg,Gdnf,Yes1,Il17a,Foxo1,Tnfrsf11b,Tgfb1,Pla2g4a,Il6,Prdx5,Tgfa,Ccl5,Epo,Axin1,Fst,Rgma,Nadk,Tnni3,Notch3,Snap29,Cntn1,Clstn2,S100a4,Ca13,Mia,Cant1,Kitlg,Gfra1,Ppp1r2,Adam23,Itgb6,Cyr61,Dlk1,Ahr,Ccl2,Eno2,Plin1,Wfikkn2,Flrt2,Qdpr,Fas,Erbb4,Riox2,Plxna4,Epcam,Ccl3,Crim1,Vsig2,Hgf,Sez6l2,Il1a,Il23r,Dll1,Ddah1,Il10,Tnfrsf12a,Acvrl1,Lgmn,Csf2,Cxcl9,Map2k6,Itgb1bp2,Il17f,Il1b,Casp3,Apbb1ip,Wisp1,Cdh6,Pdgfb,Igsf3,Tgfbr3,Cxcl1,Pak4,Cntn4,Ghrl,Lpl,Fstl3,Dctn2,Il5,Eda2r,Ntf3,Tnfsf12,Ccl20,Fli1,Tpp1,Tnr,Vegfd,Parp1,Tnf
5.76306,5.4176,7.02554,3.6971,0.98408,2.23162,3.82124,3.0352,6.55902,2.60632,6.24868,1.10181,2.30082,6.03335,0.67383,3.24099,4.88275,8.46787,2.66908,7.52233,3.88721,4.72818,7.65441,6.01535,3.84024,5.29861,3.63316,3.79609,0.63219,0.62612,4.59082,4.58993,1.40602,3.75509,6.83251,3.27532,2.46338,9.94292,6.43516,6.85552,5.52912,3.60222,5.75072,4.54763,4.88534,4.67038,2.6887,3.02277,3.14021,2.23387,3.07482,5.0386,4.94353,8.14014,5.83116,3.36418,1.69243,1.60156,3.30243,5.05737,6.04256,1.50644,6.55856,7.87573,2.3253,2.81405,2.04117,9.15572,3.96591,4.34415,3.42189,7.19786,4.08672,4.10454,9.40754,1.49222,6.17148,5.50732,2.27965,5.52919,1.64243,0.87751,6.49596,2.49656,5.08251,8.65689,3.16269,7.65971,5.74174,3.82726,5.34222,NA
5.94479,4.16604,5.30821,1.16401,1.03706,1.7752,2.05374,2.85572,6.1891,2.40993,6.52915,2.31422,2.97861,5.69633,1.11526,3.01259,4.78514,8.28058,2.80875,7.15226,1.82585,4.38802,6.44349,5.60692,2.78932,5.63227,3.79286,3.37016,0.21649,0.7972,2.84733,3.77491,1.84339,3.80319,5.26898,3.45622,2.30147,10.62015,5.39562,6.34051,5.29466,3.69264,5.27025,4.36872,4.07758,4.4035,2.17066,2.5855,5.48561,2.48614,2.43988,4.86452,4.20726,7.48048,5.16689,3.10754,1.07114,2.56406,2.60575,4.99071,6.16614,1.58326,5.22403,7.48075,1.44918,1.55925,2.73927,8.93698,4.11628,4.47251,4.85421,6.43834,3.93926,4.0479,10.70169,1.70179,5.60571,5.05627,2.34091,5.62026,1.54764,1.89541,7.01742,2.39033,5.01654,7.86584,2.17028,7.19641,4.4877,3.84127,5.03568,NA
6.015,4.95533,5.37428,1.88865,0.94328,1.82029,3.20517,2.58468,6.53947,2.07038,6.27854,0.98206,2.43005,5.53287,1.13888,2.87724,5.20046,8.55876,3.07922,5.79636,0.45966,4.802,6.45705,6.10173,3.72551,5.54829,3.91919,2.69229,0.38878,0.92053,3.99573,3.79623,1.0548,5.80063,6.28112,3.19085,1.99693,10.03841,6.14959,6.19385,5.24263,3.65551,6.03983,4.33245,4.91731,4.34334,3.56042,3.4123,4.7788,2.60097,3.43128,5.09573,4.7243,6.48,5.76032,3.3825,1.61888,1.30369,2.5266,5.06443,6.0296,1.29932,7.06797,7.88502,1.59893,1.86163,1.9619,9.39843,4.64669,4.25532,3.24845,7.62266,4.20197,3.93594,9.62849,0.98481,6.40931,4.80386,1.84432,5.46539,1.93077,1.18563,6.53717,2.36153,5.88931,7.73232,1.81867,7.50644,5.36915,4.30596,6.45299,NA
5.53576,5.10542,7.12414,3.38739,1.15588,2.23138,2.76135,2.6156,7.02684,2.82792,6.72078,1.19731,2.87559,6.60919,0.68827,5.1105,5.72003,8.42691,2.62933,7.41357,3.14944,4.89361,7.93925,5.73304,3.61111,5.29521,4.12648,3.64894,0.86957,1.25756,5.64868,4.32321,1.19349,4.45375,6.8542,6.97901,2.6395,10.16593,6.34993,4.45764,5.46856,3.68147,5.97128,4.38055,4.51317,5.45792,2.24489,2.79768,3.4676,2.5613,3.25519,5.21171,5.72355,6.62307,5.41622,3.53547,1.37721,1.27147,4.02413,5.09182,6.11783,1.8365,7.71196,7.42983,0.93967,1.28363,2.02941,9.48028,4.42111,4.30623,2.83279,8.16316,4.22761,4.29288,10.25043,2.11589,5.63514,5.19407,2.08514,5.56034,2.40845,1.42739,7.28518,3.14041,5.4641,8.39953,2.51626,7.57792,5.46927,3.67153,6.20035,NA
6.19844,5.43012,5.82989,2.47246,0.93404,2.97909,2.79536,3.5447,6.84936,2.20501,6.58224,1.4395,3.24477,5.91359,0.7962,2.74006,5.57322,8.6114,2.95495,7.86085,4.04139,4.7925,7.29103,6.24828,4.02308,6.26132,4.09317,3.32611,0.69492,1.1509,4.34885,4.90661,1.44176,3.86826,6.5516,3.38506,2.96673,10.39526,5.9544,8.20482,5.49808,4.02597,6.03213,4.61927,5.29165,5.47322,1.79098,3.16287,3.42843,2.49947,3.85293,5.44547,4.92116,8.85631,5.897,3.70534,2.39821,1.35596,3.52516,5.17743,6.35595,1.50369,6.69683,8.21149,3.30908,2.40695,2.22171,9.32709,4.42446,4.41814,3.83113,7.64604,4.60031,4.11152,10.08173,1.29828,6.59604,5.04314,2.91854,5.69644,2.73808,1.75151,6.93407,2.31531,5.25847,8.21887,3.02025,7.53465,4.96305,4.12569,6.82962,NA
6.44141,5.215,6.11305,1.4818,1.38545,3.0487,4.25906,3.5983,6.515,2.39006,6.79169,1.43664,3.08506,6.356,0.68248,2.91061,5.36566,8.59098,2.94339,8.17956,4.25329,4.79846,7.40728,6.23453,4.16436,6.55908,4.12303,3.24935,0.91405,0.93924,4.0467,5.08971,1.28866,3.55634,6.80478,3.70556,3.29039,10.31063,6.10926,8.31158,5.5164,4.56248,6.30587,4.53536,5.03932,5.37923,2.50621,3.40836,3.42755,2.64794,3.59669,5.53408,4.87174,8.41219,6.1919,3.42411,2.41089,1.8038,3.06508,5.55793,6.36495,1.66711,5.70349,8.29691,3.44632,2.74971,2.11974,9.31151,4.51103,4.30825,3.46746,8.55725,4.54625,4.25913,10.19128,1.22384,6.50768,5.14668,3.43809,5.58289,2.416,1.31185,6.90415,2.47195,5.35278,8.02645,2.55734,7.68199,5.14234,3.92795,6.19798,NA
5.62758,5.2948,6.83942,3.97721,0.87692,1.87027,3.14075,3.05386,6.29973,2.54325,5.50692,1.09585,2.12919,5.47537,0.84353,2.63143,4.43507,8.19439,2.58928,7.70856,5.60576,4.74418,7.35569,5.92196,3.77391,5.28213,3.30295,3.83494,0.61313,0.48132,3.88967,4.18226,1.18696,2.97675,6.76199,3.11246,2.14885,9.84772,5.12678,7.69111,5.2064,3.47401,5.44645,4.3434,4.93688,4.62374,1.91531,3.43218,3.06911,1.88431,3.21871,4.76043,4.88512,7.99317,5.8605,3.14225,1.38536,1.25229,2.86569,4.6786,5.93392,1.22778,6.22039,7.75248,2.44696,1.87706,1.74138,8.53194,3.01801,4.1549,3.22611,5.16259,4.05465,3.95989,9.60535,1.34892,6.05181,5.79775,2.58503,5.18942,1.76576,1.62467,6.45687,2.48202,5.18717,8.20006,3.17595,7.21958,4.05447,3.73116,5.38323,NA
6.25781,6.39667,5.15017,1.63661,1.15808,2.25677,1.684,3.53759,8.40754,3.85532,6.60039,2.50942,3.28012,5.26038,4.45049,6.60132,5.44853,7.89437,2.46112,8.36298,1.79173,4.62321,7.36512,5.09712,5.43346,5.81839,4.09641,3.70606,0.8002,1.26529,5.53019,4.4896,2.01525,3.95179,6.14147,2.83592,3.35881,13.28924,4.99888,5.9375,5.7628,4.05721,5.49533,5.01725,3.92963,5.71366,2.25822,2.53801,6.74577,3.31888,3.04098,7.50511,4.71512,8.5414,9.51784,5.20814,1.54907,6.73833,3.44163,5.46363,6.65622,2.19723,11.32546,7.81279,2.68104,1.40816,2.96824,9.07171,4.40652,6.82035,3.71198,6.01117,4.51381,3.80171,11.00671,1.1032,4.53874,5.26646,2.31475,6.79965,2.40964,3.56086,7.2594,2.51957,6.81582,8.89622,4.31027,7.34009,3.48951,3.58227,7.74787,1.46919
5.81327,5.42187,6.78234,2.64645,0.60404,2.29425,3.14787,3.02799,6.60991,2.63745,6.57372,1.60298,2.49895,5.54219,2.80064,2.92332,4.81876,8.15124,2.55318,8.25124,7.96319,4.65778,7.92079,5.99641,3.56999,5.52673,3.59303,3.8682,0.63449,0.83709,3.79482,4.91734,1.29158,2.69768,7.54451,2.88929,2.26577,10.05385,6.35318,7.3111,5.37264,3.6222,5.90454,4.32607,5.10963,4.89311,3.02793,2.51492,3.96804,2.35649,2.86432,4.94627,4.6809,7.75039,5.9981,3.38668,1.51203,2.06553,2.98582,4.87534,6.2084,1.24899,7.56146,8.069,3.0389,1.52967,1.97735,9.08939,3.84685,4.10619,3.50052,5.58764,4.00948,3.8844,9.68636,1.54883,6.04458,5.12769,2.29282,5.32232,1.58897,1.1369,6.45943,2.41452,4.6646,8.10501,2.70589,7.38331,5.28612,3.67505,5.18633,NA
5.95054,5.21497,7.09912,3.83589,1.20501,2.23895,2.70815,3.22965,6.54088,2.73522,6.35601,1.30227,2.55465,5.78198,1.02625,4.90154,4.95716,8.56027,2.84517,7.83028,5.79117,4.91864,7.54879,6.09621,3.40612,5.79304,3.92851,3.8902,0.789,0.49803,4.25084,4.66553,0.94984,3.50199,7.4906,3.3871000000000002,2.50749,10.15835,6.44751,7.02452,5.41629,3.75945,5.85027,4.31492,4.57761,4.76665,3.68384,3.32131,3.1337,2.09266,3.11527,4.67262,5.10729,8.33624,6.14019,3.37836,1.63128,1.69856,3.40899,5.2274,6.10575,1.46086,6.66549,8.01088,2.90628,1.70553,2.12122,8.96442,3.68839,4.13137,3.24194,5.84384,4.38954,4.40816,9.70239,1.827,6.23131,5.85732,2.61273,5.50355,2.04401,1.63234,6.65116,2.78154,5.41884,8.49936,3.01264,7.61905,5.13472,3.71268,5.15652,0.56113
