ID;Sex;Treatment
TNES-AH84;f;Continuous
TNES-AI03;f;Continuous
TNES-AI34;f;Continuous
TNES-AJ24;f;Continuous
TNES-AH78;f;Continuous
TNES-AI09;f;Continuous
TNES-AI15;f;Continuous
TNES-AI23;f;Continuous
TNES-AH21;f;Continuous
TNES-AH61;f;Continuous
TNES-AH62;f;Continuous
TNES-AJ31;f;Continuous
TNES-AJ33;f;Continuous
TNES-AN37;f;Continuous
TNES-AN46;f;Continuous
TNES-AE41;m;Continuous
TNES-AE82;m;Continuous
TNES-AE83;m;Continuous
TNES-AC55;m;Continuous
TNES-AC56;m;Continuous
TNES-AC70;m;Continuous
TNES-AC71;m;Continuous
TNES-AC72;m;Continuous
TNES-AH57;m;Continuous
TNES-AE08;m;Continuous
TNES-AE09;m;Continuous
TNES-AE31;m;Continuous
TNES-AE32;m;Continuous
TNES-AE39;m;Continuous
TNES-AE40;m;Continuous
TNES-AJ00;f;Intermittent
TNES-AH42;f;Intermittent
TNES-AH54;f;Intermittent
TNES-AI33;f;Intermittent
TNES-AJ27;f;Intermittent
TNES-AI97;f;Intermittent
TNES-AJ56;f;Intermittent
TNES-AN35;f;Intermittent
TNES-AH34;f;Intermittent
TNES-AH48;f;Intermittent
TNES-AH69;f;Intermittent
TNES-AI30;f;Intermittent
TNES-AF83;f;Intermittent
TNES-AF94;f;Intermittent
TNES-AE00;f;Intermittent
TNES-AF74;f;Intermittent
TNES-AF97;f;Intermittent
TNES-AF75;f;Intermittent
TNES-AE33;f;Intermittent
TNES-AE49;f;Intermittent
TNES-AH66;m;Intermittent
TNES-AH67;m;Intermittent
TNES-AH75;m;Intermittent
TNES-AH76;m;Intermittent
TNES-AI44;m;Intermittent
TNES-X767;m;Intermittent
TNES-X768;m;Intermittent
TNES-X769;m;Intermittent
TNES-AC66;m;Intermittent
TNES-AE28;m;Intermittent
TNES-AE56;m;Intermittent
TNES-AE58;m;Intermittent
TNES-AD97;m;Intermittent
TNES-AE27;m;Intermittent
TNES-AE29;m;Intermittent
TNES-AH56;f;Control
TNES-AH90;f;Control
TNES-AJ16;f;Control
TNES-AJ17;f;Control
TNES-AI05;f;Control
TNES-AI93;f;Control
TNES-AE12;f;Control
TNES-AF04;f;Control
TNES-AC75;f;Control
TNES-AC79;f;Control
TNES-AF53;f;Control
TNES-AF69;f;Control
TNES-AH97;f;Control
TNES-AH91;m;Control
TNES-AH92;m;Control
TNES-X799;m;Control
TNES-X801;m;Control
TNES-Y246;m;Control
TNES-Y250;m;Control
TNES-Y511;m;Control
TNES-Y512;m;Control
TNES-Y251;m;Control
TNES-Y252;m;Control
TNES-Y320;m;Control
TNES-Y324;m;Control
TNES-AC32;m;Control
TNES-AC33;m;Control
TNES-AE52;m;Control
TNES-Y783;f;Control
TNES-Y786;f;Control
TNES-Y790;f;Control
TNES-Y659;f;Control
TNES-X716;f;Control
TNES-AI04;f;Control
TNES-AJ55;f;Control
